id,score
155,8.067852498217055
27205,7.9903076316308415
157336,7.9636401939679935
150540,7.7991822991822986
118340,7.767977860902829
10681,7.619328149920255
177572,7.615251321908644
14160,7.545211967194178
49026,7.489354658798553
100402,7.434686307187786
137113,7.409118842918774
10193,7.400217649065246
57158,7.397577513001119
597,7.381081310653841
127585,7.355207363739787
24428,7.328132293504868
1726,7.306077964588604
10191,7.30520722820321
767,7.254094737298297
54138,7.230531225880063
99861,7.194659222585063
38757,7.187948771782491
119450,7.148764913459923
19995,7.143892045454546
168259,7.141927778558381
64682,7.128437446386702
271110,7.024987038201454
122917,6.992676767676767
82690,6.989015831565203
49051,6.94426354542521
58,6.917037813291415
102651,6.905716554188169
62211,6.885560552521683
37724,6.8513968133215
44826,6.835026482590952
285,6.823966942148761
68721,6.767552333450763
72190,6.666740576496674
68726,6.662343490130857
62177,6.6613221382411245
278927,6.643940951135196
411,6.639878253463263
10138,6.584943073234575
188927,6.566877293110477
254,6.564584411692593
105864,6.5568048910154175
17979,6.543588630939466
135397,6.498118213808547
1930,6.497603240418954
49521,6.497529308577005
102382,6.496489318752304
315011,6.484092897478725
315012,6.481818181818182
5255,6.433071213346072
79698,6.426516616845438
12155,6.4144939206055245
246655,6.414301377699386
1865,6.413755578651342
2454,6.369132388524023
20526,6.347336157724078
36668,6.340180813661477
206647,6.33326348002528
20662,6.31752217757222
5174,6.314143680212105
9543,6.2849617672047575
158852,6.27327565829906
41154,6.25461592670895
49529,6.222220928879059
15512,6.198851911604698
10764,6.196297145477473
9804,6.192077400511136
38356,6.188815580790459
10192,6.162831423392424
64686,6.150136793558978
8373,6.116437453315172
2268,6.096056527059567
296,6.0851155525988485
57201,6.07572279728728
534,6.068009870579897
559,6.027145581691037
49013,6.024799928064023
297761,5.968789096928138
91314,5.9665001665001665
58595,5.965570223850943
217,5.923696189361426
14869,5.897710392241114
68728,5.872586795103352
1452,5.8507575757575765
2698,5.849427327670005
44833,5.815291644771414
209112,5.7976784335105185
258489,5.786244367877021
8487,5.784068406840683
81005,5.772878872100662
14161,5.749384750435064
1735,5.736999657234262
76757,5.540185292414592
44912,5.496277081106447
47933,5.353113200177079
